"商品コード","商品名","仕入先コード","仕入先名","在庫数","引当数","フリー在庫数","不良在庫数","欠品数","発注残数","商品区分","商品タグ","取扱区分","適正在庫数","発注点","ロット","原価","売価","在庫金額","表示価格","ＪＡＮコード"
"mg-bo01-lg","ツイルボストンバッグ【ライトグレー】","11","Astyle","29","0","29","0","0","0","通常","","取扱中","2","0","0","3135.00","7980.00","90915.00","","4580605361615"
"mg-bo01-wt","ツイルボストンバッグ【ホワイト】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3135.00","7980.00","0.00","","4580604903847"
"mg-bt01-L-br","ブラトップL_ブラウン","9","ハピネス","229","0","229","0","0","0","通常","","取扱中","2","0","0","1903.00","5680.00","435787.00","","4580605360113"
"mg-bt01-L-gy","ブラトップL_グレー","9","ハピネス","266","0","266","0","0","0","通常","","取扱中","2","0","0","1903.00","5680.00","506198.00","","4580605360090"
"mg-bt01-M-br","ブラトップM_ブラウン","9","ハピネス","224","0","224","0","0","0","通常","","取扱中","2","0","0","1903.00","5680.00","426272.00","","4580605360106"
"mg-bt01-M-gy","ブラトップM_グレー","9","ハピネス","333","0","333","0","0","0","通常","","取扱中","2","0","0","1903.00","5680.00","633699.00","","4580605360083"
"mg-bt02-L-br","ホルダーネックブラトップL_ブラウン","9","ハピネス","133","0","133","0","0","0","通常","","取扱中","2","0","0","1958.00","5680.00","260414.00","","4580605359964"
"mg-bt02-L-gy","ホルダーネックブラトップL_グレー","9","ハピネス","139","0","139","0","0","0","通常","","取扱中","2","0","0","1958.00","5680.00","272162.00","","4580605359940"
"mg-bt02-M-br","ホルダーネックブラトップM_ブラウン","9","ハピネス","374","0","374","0","0","0","通常","","取扱中","2","0","0","1958.00","5680.00","732292.00","","4580605359957"
"mg-bt02-M-gy","ホルダーネックブラトップM_グレー","9","ハピネス","374","0","374","0","0","0","通常","","取扱中","2","0","0","1958.00","5680.00","732292.00","","4580605359933"
"mg-ca01-ch","ロングカーディガン-チャコール","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2640.00","10000.00","0.00","","4580604900709"
"mg-ca02-ch","コーディガンチャコール","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3080.00","9980.00","0.00","","4580604900716"
"mg-ca02-lg","コーデガン-ライトグレー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","30","3080.00","9980.00","0.00","","4580604900723"
